month,bigram,frequency
7/2012,RT RT,6
8/2012,RT RT,5
9/2012,RT RT,3
7/2013,I want,2
11/2014,I know,25
11/2014,I want,19
11/2014,I think,16
11/2014,I feel,12
11/2014,I hate,11
11/2014,I need,10
11/2014,I love,7
11/2014,You know,5
11/2014,The best,4
11/2014,wake up,3
11/2014,I see,3
11/2014,I wish,2
12/2014,I think,27
12/2014,I know,26
12/2014,I love,23
12/2014,I want,23
12/2014,I feel,15
12/2014,I hate,14
12/2014,I see,12
12/2014,I need,12
12/2014,I guess,6
12/2014,I believe,6
12/2014,wake up,4
12/2014,You know,3
12/2014,right now,2
12/2014,health care,2
12/2014,I wish,2
12/2014,I hope,2
1/2015,Super Bowl,150
1/2015,I love,83
1/2015,I know,81
1/2015,I want,79
1/2015,I think,55
1/2015,I need,51
1/2015,I hate,50
1/2015,I wish,43
1/2015,The best,29
1/2015,I see,28
1/2015,White House,27
1/2015,Islamic State,27
1/2015,I feel,26
1/2015,Supreme Court,25
1/2015,New York,23
1/2015,first time,21
1/2015,I believe,21
1/2015,You know,20
1/2015,I hope,16
1/2015,We need,16
1/2015,wake up,15
1/2015,High School,14
1/2015,I guess,12
1/2015,found dead,12
1/2015,fatally shot,11
1/2015,I really,10
1/2015,San Francisco,9
1/2015,Los Angeles,7
1/2015,I thought,6
1/2015,Man shot,6
1/2015,North Korea,6
1/2015,New Jersey,5
1/2015,police officer,5
1/2015,United States,4
1/2015,pleads guilty,4
1/2015,high school,4
1/2015,Of The,3
1/2015,health care,3
1/2015,Bay Area,2
1/2015,South Carolina,2
1/2015,Fox News,2
1/2015,Hillary Clinton,2
1/2015,RT I,2
1/2015,Check out,2
2/2015,Super Bowl,92
2/2015,I love,77
2/2015,I want,61
2/2015,I think,59
2/2015,I know,48
2/2015,Islamic State,43
2/2015,I need,41
2/2015,The best,25
2/2015,I hate,25
2/2015,North Carolina,22
2/2015,New York,19
2/2015,wake up,17
2/2015,I wish,17
2/2015,I feel,16
2/2015,police officer,15
2/2015,found dead,14
2/2015,You know,12
2/2015,White House,12
2/2015,pleads guilty,12
2/2015,I guess,11
2/2015,United States,11
2/2015,I believe,10
2/2015,Los Angeles,10
2/2015,high school,10
2/2015,I hope,9
2/2015,social media,8
2/2015,I see,8
2/2015,New Jersey,8
2/2015,Supreme Court,8
2/2015,We need,8
2/2015,High School,7
2/2015,In The,7
2/2015,first time,7
2/2015,I thought,6
2/2015,Puerto Rico,5
2/2015,I really,5
2/2015,San Diego,5
2/2015,Of The,5
2/2015,fatally shot,5
2/2015,President Obama,4
2/2015,Man shot,4
2/2015,Donald Trump,3
2/2015,health care,3
2/2015,South Carolina,2
2/2015,Wall Street,2
2/2015,San Jose,2
2/2015,Hillary Clinton,2
2/2015,Check out,2
3/2015,I know,108
3/2015,I love,83
3/2015,I want,82
3/2015,I think,81
3/2015,I wish,78
3/2015,I need,71
3/2015,I feel,65
3/2015,I hate,59
3/2015,I see,32
3/2015,I hope,30
3/2015,I really,29
3/2015,White House,24
3/2015,Islamic State,23
3/2015,New Orleans,22
3/2015,New York,21
3/2015,police officer,20
3/2015,The best,20
3/2015,first time,18
3/2015,You know,17
3/2015,We need,16
3/2015,Hillary Clinton,16
3/2015,wake up,14
3/2015,Los Angeles,14
3/2015,I believe,14
3/2015,found dead,13
3/2015,Supreme Court,13
3/2015,pleads guilty,13
3/2015,Of The,10
3/2015,San Jose,9
3/2015,I thought,9
3/2015,Ted Cruz,8
3/2015,High School,8
3/2015,New Jersey,6
3/2015,Man shot,6
3/2015,President Obama,6
3/2015,North Carolina,5
3/2015,In The,5
3/2015,United States,5
3/2015,I guess,4
3/2015,Bill Clinton,4
3/2015,health care,4
3/2015,high school,4
3/2015,Michelle Obama,3
3/2015,fatally shot,3
3/2015,Super Bowl,3
3/2015,San Francisco,2
3/2015,Ben Carson,2
3/2015,North Korea,2
3/2015,Wall Street,2
4/2015,I want,52
4/2015,Hillary Clinton,41
4/2015,White House,37
4/2015,I think,35
4/2015,New York,35
4/2015,Supreme Court,32
4/2015,I love,30
4/2015,I know,28
4/2015,I need,25
4/2015,South Carolina,20
4/2015,Islamic State,20
4/2015,I wish,20
4/2015,police officer,18
4/2015,Los Angeles,17
4/2015,I hope,17
4/2015,Of The,16
4/2015,I hate,14
4/2015,New Jersey,12
4/2015,I feel,12
4/2015,High School,11
4/2015,I really,11
4/2015,I guess,10
4/2015,found dead,9
4/2015,wake up,8
4/2015,pleads guilty,7
4/2015,The best,7
4/2015,North Carolina,7
4/2015,We need,7
4/2015,United States,6
4/2015,I thought,6
4/2015,I see,6
4/2015,Donald Trump,6
4/2015,fatally shot,5
4/2015,high school,4
4/2015,Fox News,4
4/2015,In The,4
4/2015,social media,3
4/2015,Wall Street,3
4/2015,North Korea,3
4/2015,Man shot,3
4/2015,I believe,3
4/2015,You know,2
4/2015,right now,2
4/2015,black people,2
4/2015,Bill Clinton,2
4/2015,first time,2
4/2015,New Orleans,2
4/2015,San Francisco,2
4/2015,Bernie Sanders,2
4/2015,Ted Cruz,2
5/2015,I want,114
5/2015,New York,73
5/2015,I love,64
5/2015,I think,64
5/2015,White House,54
5/2015,I hate,47
5/2015,I know,40
5/2015,I need,38
5/2015,Hillary Clinton,36
5/2015,New Orleans,28
5/2015,Of The,24
5/2015,police officer,23
5/2015,I wish,21
5/2015,I see,21
5/2015,Supreme Court,21
5/2015,I feel,21
5/2015,I guess,20
5/2015,found dead,18
5/2015,I hope,17
5/2015,We need,17
5/2015,pleads guilty,15
5/2015,Islamic State,15
5/2015,Bernie Sanders,15
5/2015,San Diego,15
5/2015,San Francisco,14
5/2015,high school,13
5/2015,Los Angeles,13
5/2015,Fox News,13
5/2015,President Obama,12
5/2015,In The,12
5/2015,High School,11
5/2015,Man shot,9
5/2015,fatally shot,8
5/2015,Ben Carson,8
5/2015,San Jose,8
5/2015,New Jersey,6
5/2015,North Korea,6
5/2015,Super Bowl,6
5/2015,United States,5
5/2015,I really,5
5/2015,first time,5
5/2015,Check out,4
5/2015,North Carolina,4
5/2015,I thought,4
5/2015,white people,4
5/2015,Bay Area,4
5/2015,Michelle Obama,4
5/2015,The best,3
5/2015,I believe,3
5/2015,RT MT,2
5/2015,social media,2
5/2015,You know,2
5/2015,Bill Clinton,2
5/2015,wake up,2
5/2015,Donald Trump,2
6/2015,New York,412
6/2015,Supreme Court,303
6/2015,Hillary Clinton,292
6/2015,Islamic State,290
6/2015,I think,169
6/2015,White House,154
6/2015,Donald Trump,148
6/2015,President Obama,143
6/2015,South Carolina,133
6/2015,Michelle Obama,118
6/2015,I want,106
6/2015,New Orleans,102
6/2015,United States,93
6/2015,High School,86
6/2015,I know,83
6/2015,police officer,79
6/2015,first time,73
6/2015,I love,71
6/2015,health care,70
6/2015,Of The,70
6/2015,San Francisco,66
6/2015,I need,65
6/2015,fatally shot,63
6/2015,Wall Street,61
6/2015,In The,50
6/2015,I hope,48
6/2015,North Carolina,46
6/2015,Ted Cruz,46
6/2015,Bay Area,45
6/2015,I see,45
6/2015,found dead,44
6/2015,New Jersey,44
6/2015,high school,42
6/2015,right now,40
6/2015,Los Angeles,40
6/2015,pleads guilty,39
6/2015,I really,38
6/2015,San Jose,37
6/2015,Fox News,37
6/2015,Bernie Sanders,37
6/2015,Check out,35
6/2015,I believe,35
6/2015,social media,32
6/2015,Puerto Rico,31
6/2015,I thought,30
6/2015,Bill Clinton,30
6/2015,white people,29
6/2015,I hate,29
6/2015,I feel,29
6/2015,I guess,28
6/2015,San Diego,27
6/2015,We need,21
6/2015,Man shot,20
6/2015,You know,18
6/2015,RT The,18
6/2015,The best,16
6/2015,I wish,14
6/2015,Ben Carson,10
6/2015,wake up,10
6/2015,black people,9
6/2015,North Korea,9
6/2015,Planned Parenthood,6
6/2015,weight loss,4
6/2015,AP Photo,4
6/2015,RT This,4
6/2015,RT I,3
6/2015,RT MT,2
6/2015,Lives Matter,2
6/2015,Super Bowl,2
7/2015,lose weight,4757
7/2015,I need,1926
7/2015,weight loss,1182
7/2015,good workout,1069
7/2015,go workout,943
7/2015,I want,656
7/2015,I love,500
7/2015,I think,392
7/2015,I feel,374
7/2015,Planned Parenthood,363
7/2015,Donald Trump,362
7/2015,I really,314
7/2015,I hate,280
7/2015,Islamic State,279
7/2015,New York,251
7/2015,I wish,246
7/2015,I know,206
7/2015,I guess,177
7/2015,right now,175
7/2015,White House,161
7/2015,wake up,146
7/2015,South Carolina,137
7/2015,Hillary Clinton,127
7/2015,I thought,89
7/2015,I hope,80
7/2015,The best,77
7/2015,San Francisco,76
7/2015,found dead,70
7/2015,I see,65
7/2015,police officer,63
7/2015,Supreme Court,62
7/2015,President Obama,60
7/2015,You know,60
7/2015,Wall Street,52
7/2015,North Korea,52
7/2015,We need,47
7/2015,first time,47
7/2015,In The,45
7/2015,Los Angeles,35
7/2015,pleads guilty,33
7/2015,Ted Cruz,31
7/2015,I believe,31
7/2015,high school,30
7/2015,United States,30
7/2015,Bernie Sanders,27
7/2015,San Diego,24
7/2015,Fox News,23
7/2015,Check out,22
7/2015,New Jersey,22
7/2015,Man shot,22
7/2015,Ben Carson,20
7/2015,Susan Rice,19
7/2015,Of The,18
7/2015,fatally shot,17
7/2015,Black Lives,16
7/2015,RT I,16
7/2015,New Orleans,15
7/2015,San Jose,14
7/2015,social media,13
7/2015,Lives Matter,13
7/2015,Trump Just,12
7/2015,North Carolina,11
7/2015,High School,11
7/2015,Michelle Obama,10
7/2015,Super Bowl,9
7/2015,health care,8
7/2015,Puerto Rico,8
7/2015,RT The,8
7/2015,RT RT,5
7/2015,white people,4
7/2015,Bay Area,4
7/2015,Bill Clinton,2
8/2015,New York,230
8/2015,Donald Trump,222
8/2015,Islamic State,149
8/2015,I need,128
8/2015,I want,93
8/2015,Hillary Clinton,74
8/2015,good workout,70
8/2015,go workout,67
8/2015,I think,63
8/2015,I love,53
8/2015,police officer,53
8/2015,Planned Parenthood,51
8/2015,North Korea,47
8/2015,found dead,46
8/2015,I hope,42
8/2015,White House,42
8/2015,I know,39
8/2015,high school,35
8/2015,New Orleans,35
8/2015,I feel,34
8/2015,black people,33
8/2015,We need,31
8/2015,pleads guilty,31
8/2015,Fox News,30
8/2015,High School,26
8/2015,right now,26
8/2015,I believe,26
8/2015,wake up,24
8/2015,first time,22
8/2015,fatally shot,22
8/2015,I really,21
8/2015,New Jersey,20
8/2015,Black Lives,18
8/2015,Man shot,16
8/2015,I wish,15
8/2015,I hate,15
8/2015,I guess,14
8/2015,Los Angeles,14
8/2015,South Carolina,14
8/2015,Ted Cruz,13
8/2015,President Obama,13
8/2015,Lives Matter,13
8/2015,social media,11
8/2015,Supreme Court,11
8/2015,In The,10
8/2015,Bernie Sanders,10
8/2015,United States,10
8/2015,I thought,10
8/2015,The best,10
8/2015,San Francisco,9
8/2015,I see,9
8/2015,Puerto Rico,9
8/2015,Of The,9
8/2015,North Carolina,9
8/2015,You know,7
8/2015,lose weight,5
8/2015,Ben Carson,5
8/2015,Bill Clinton,4
8/2015,Wall Street,4
8/2015,San Diego,4
8/2015,Super Bowl,2
8/2015,Check out,2
8/2015,Bay Area,2
9/2015,I want,108
9/2015,Islamic State,102
9/2015,New York,93
9/2015,I think,83
9/2015,Donald Trump,82
9/2015,White House,65
9/2015,Hillary Clinton,57
9/2015,found dead,50
9/2015,I wish,35
9/2015,North Korea,33
9/2015,Supreme Court,32
9/2015,Planned Parenthood,31
9/2015,high school,31
9/2015,AP Photo,28
9/2015,police officer,28
9/2015,I hope,27
9/2015,I hate,26
9/2015,Los Angeles,26
9/2015,fatally shot,21
9/2015,High School,20
9/2015,I know,20
9/2015,pleads guilty,20
9/2015,Wall Street,19
9/2015,Man shot,18
9/2015,South Carolina,17
9/2015,I love,16
9/2015,first time,15
9/2015,Fox News,15
9/2015,We need,14
9/2015,United States,13
9/2015,I thought,13
9/2015,Ben Carson,12
9/2015,Super Bowl,10
9/2015,I need,10
9/2015,I see,10
9/2015,Of The,10
9/2015,I feel,10
9/2015,right now,9
9/2015,New Jersey,9
9/2015,San Francisco,7
9/2015,President Obama,7
9/2015,I guess,7
9/2015,Black Lives,5
9/2015,Lives Matter,4
9/2015,I really,4
9/2015,North Carolina,4
9/2015,black people,4
9/2015,In The,4
9/2015,Ted Cruz,4
9/2015,You know,4
9/2015,I believe,3
9/2015,Check out,2
9/2015,Bernie Sanders,2
9/2015,RT RT,2
9/2015,health care,2
10/2015,AP Photo,211
10/2015,Islamic State,193
10/2015,New York,128
10/2015,Ben Carson,87
10/2015,South Carolina,84
10/2015,Bernie Sanders,73
10/2015,Hillary Clinton,63
10/2015,I know,62
10/2015,I think,53
10/2015,White House,44
10/2015,high school,42
10/2015,police officer,41
10/2015,Donald Trump,35
10/2015,United States,35
10/2015,Los Angeles,34
10/2015,I love,34
10/2015,High School,31
10/2015,Supreme Court,29
10/2015,Wall Street,28
10/2015,I want,28
10/2015,In The,28
10/2015,North Korea,28
10/2015,Planned Parenthood,24
10/2015,I see,23
10/2015,found dead,22
10/2015,I need,21
10/2015,Fox News,19
10/2015,I guess,19
10/2015,pleads guilty,18
10/2015,fatally shot,17
10/2015,I believe,16
10/2015,social media,15
10/2015,President Obama,15
10/2015,New Jersey,15
10/2015,I hope,14
10/2015,first time,13
10/2015,Ted Cruz,12
10/2015,San Francisco,11
10/2015,Man shot,11
10/2015,I feel,10
10/2015,Of The,10
10/2015,We need,9
10/2015,I thought,9
10/2015,Check out,8
10/2015,Puerto Rico,7
10/2015,I really,6
10/2015,Black Lives,6
10/2015,white people,6
10/2015,wake up,5
10/2015,Bill Clinton,5
10/2015,I wish,5
10/2015,health care,4
10/2015,North Carolina,4
10/2015,right now,4
10/2015,I hate,4
10/2015,Lives Matter,4
10/2015,Super Bowl,2
10/2015,New Orleans,2
10/2015,Trump Supporters,2
10/2015,You know,2
10/2015,RT RT,2
10/2015,weight loss,2
11/2015,AP Photo,1416
11/2015,Ben Carson,393
11/2015,Islamic State,272
11/2015,Donald Trump,187
11/2015,New York,165
11/2015,I think,114
11/2015,I want,97
11/2015,White House,96
11/2015,We need,69
11/2015,Hillary Clinton,61
11/2015,I hope,60
11/2015,Bernie Sanders,58
11/2015,pleads guilty,54
11/2015,I hate,51
11/2015,Planned Parenthood,50
11/2015,Wall Street,37
11/2015,Supreme Court,37
11/2015,I wish,35
11/2015,I believe,35
11/2015,North Korea,32
11/2015,police officer,30
11/2015,High School,28
11/2015,I love,24
11/2015,Ted Cruz,24
11/2015,San Francisco,24
11/2015,New Orleans,24
11/2015,first time,23
11/2015,I feel,23
11/2015,black people,22
11/2015,high school,22
11/2015,United States,21
11/2015,I really,21
11/2015,Of The,21
11/2015,I thought,20
11/2015,fatally shot,18
11/2015,I see,16
11/2015,social media,16
11/2015,Black Lives,15
11/2015,You know,15
11/2015,San Diego,14
11/2015,Fox News,14
11/2015,The best,13
11/2015,Man shot,12
11/2015,I need,12
11/2015,Lives Matter,12
11/2015,New Jersey,11
11/2015,Los Angeles,11
11/2015,Puerto Rico,10
11/2015,found dead,10
11/2015,I know,10
11/2015,South Carolina,9
11/2015,In The,9
11/2015,North Carolina,8
11/2015,RT This,6
11/2015,I guess,6
11/2015,RT The,6
11/2015,health care,5
11/2015,Bill Clinton,5
11/2015,wake up,4
11/2015,President Obama,4
11/2015,white people,3
11/2015,RT RT,3
11/2015,weight loss,2
11/2015,Super Bowl,2
11/2015,right now,2
12/2015,New Orleans,628
12/2015,You know,438
12/2015,Donald Trump,330
12/2015,We need,304
12/2015,AP Photo,300
12/2015,Islamic State,257
12/2015,New York,230
12/2015,I think,184
12/2015,Hillary Clinton,184
12/2015,Ted Cruz,128
12/2015,I hope,125
12/2015,White House,101
12/2015,I want,92
12/2015,Planned Parenthood,88
12/2015,Supreme Court,88
12/2015,I know,73
12/2015,I believe,73
12/2015,Bernie Sanders,72
12/2015,Ben Carson,70
12/2015,police officer,70
12/2015,I need,69
12/2015,San Francisco,67
12/2015,Los Angeles,67
12/2015,San Jose,61
12/2015,I see,57
12/2015,Bay Area,56
12/2015,Man shot,55
12/2015,found dead,54
12/2015,I hate,51
12/2015,fatally shot,50
12/2015,social media,47
12/2015,I love,47
12/2015,first time,47
12/2015,San Diego,45
12/2015,Of The,45
12/2015,high school,45
12/2015,Check out,42
12/2015,I feel,42
12/2015,President Obama,41
12/2015,North Korea,40
12/2015,Lives Matter,39
12/2015,Black Lives,39
12/2015,United States,39
12/2015,pleads guilty,39
12/2015,Bill Clinton,35
12/2015,Super Bowl,34
12/2015,Wall Street,32
12/2015,High School,31
12/2015,I guess,31
12/2015,Fox News,31
12/2015,right now,30
12/2015,wake up,30
12/2015,I really,30
12/2015,Puerto Rico,26
12/2015,white people,21
12/2015,black people,21
12/2015,I wish,20
12/2015,New Jersey,20
12/2015,health care,19
12/2015,North Carolina,17
12/2015,South Carolina,16
12/2015,I thought,16
12/2015,RT MT,12
12/2015,The best,12
12/2015,In The,11
12/2015,RT RT,11
12/2015,Trump Supporters,6
12/2015,patriot army,5
12/2015,Michelle Obama,4
12/2015,RT The,2
12/2015,RT This,2
1/2016,New Orleans,469
1/2016,Donald Trump,357
1/2016,Super Bowl,330
1/2016,New York,190
1/2016,Islamic State,188
1/2016,Ted Cruz,184
1/2016,Hillary Clinton,172
1/2016,North Korea,167
1/2016,Bernie Sanders,163
1/2016,San Jose,157
1/2016,Payday Loans,154
1/2016,San Francisco,138
1/2016,White House,124
1/2016,Supreme Court,108
1/2016,San Diego,103
1/2016,Online Payday,103
1/2016,24x7 Online,100
1/2016,I know,99
1/2016,found dead,95
1/2016,Planned Parenthood,94
1/2016,I want,92
1/2016,Loans Approved,90
1/2016,Bay Area,89
1/2016,police officer,85
1/2016,Los Angeles,82
1/2016,I think,77
1/2016,Fox News,74
1/2016,pleads guilty,70
1/2016,High School,62
1/2016,Man shot,62
1/2016,first time,61
1/2016,We need,55
1/2016,health care,54
1/2016,I love,51
1/2016,President Obama,50
1/2016,South Carolina,46
1/2016,I really,41
1/2016,I feel,39
1/2016,fatally shot,39
1/2016,Ben Carson,39
1/2016,Bill Clinton,39
1/2016,New Jersey,35
1/2016,Wall Street,34
1/2016,I guess,34
1/2016,In The,33
1/2016,high school,31
1/2016,social media,29
1/2016,I see,28
1/2016,I need,28
1/2016,Check out,28
1/2016,I believe,27
1/2016,white people,26
1/2016,black people,23
1/2016,I thought,23
1/2016,I hate,22
1/2016,Black Lives,22
1/2016,Lives Matter,21
1/2016,wake up,17
1/2016,RT RT,16
1/2016,I hope,15
1/2016,North Carolina,15
1/2016,I wish,14
1/2016,Of The,12
1/2016,AP Photo,11
1/2016,RT The,11
1/2016,The best,11
1/2016,You know,9
1/2016,right now,9
1/2016,United States,9
1/2016,Puerto Rico,7
1/2016,patriot army,6
1/2016,weight loss,3
1/2016,RT This,2
2/2016,Payday Loans,1662
2/2016,Online Payday,1116
2/2016,24x7 Online,1063
2/2016,Loans Approved,950
2/2016,RT MT,735
2/2016,Super Bowl,679
2/2016,Donald Trump,498
2/2016,Hillary Clinton,296
2/2016,Ted Cruz,295
2/2016,Supreme Court,294
2/2016,New Orleans,290
2/2016,Bernie Sanders,285
2/2016,South Carolina,243
2/2016,San Jose,184
2/2016,Islamic State,152
2/2016,I think,149
2/2016,North Korea,146
2/2016,RT The,141
2/2016,San Francisco,137
2/2016,White House,131
2/2016,New York,105
2/2016,black people,102
2/2016,police officer,93
2/2016,Bay Area,92
2/2016,Planned Parenthood,91
2/2016,found dead,83
2/2016,white people,79
2/2016,pleads guilty,79
2/2016,RT I,76
2/2016,I want,74
2/2016,Man shot,72
2/2016,fatally shot,72
2/2016,We need,70
2/2016,Ben Carson,70
2/2016,I love,67
2/2016,Black Lives,67
2/2016,High School,65
2/2016,I know,64
2/2016,United States,60
2/2016,I believe,58
2/2016,RT This,58
2/2016,Los Angeles,58
2/2016,high school,53
2/2016,Lives Matter,52
2/2016,In The,51
2/2016,San Diego,50
2/2016,Wall Street,48
2/2016,RT Trump,46
2/2016,I feel,38
2/2016,I need,37
2/2016,RT RT,37
2/2016,I hate,36
2/2016,President Obama,36
2/2016,Bill Clinton,35
2/2016,I wish,35
2/2016,social media,35
2/2016,North Carolina,34
2/2016,I see,32
2/2016,right now,32
2/2016,first time,30
2/2016,New Jersey,30
2/2016,I thought,29
2/2016,Of The,25
2/2016,The best,25
2/2016,I hope,24
2/2016,health care,24
2/2016,I guess,24
